h_family	h_genus	h_species	i_family	i_tribe	i_genus	i_species	h_family_id	h_genus_id	h_species_id	i_family_id	i_tribe_id	i_genus_id	i_species_id
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	longipennis	98	1622	4133	6296	6291	6200	2560
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	sparsus	98	1622	4133	6296	6291	6200	2579
Asteraceae	Hymenoclea	salsola	Miridae	Orthotylini	Lopidella	flavoscuta	98	1667	1264	6296	6291	6003	1554
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Scalponotatus	maturus	98	1622	4133	6296	6291	6190	2485
Asteraceae	Ambrosia	dumosa	Miridae	Orthotylini	Scalponotatus	maturus	98	407	8633	6296	6291	6190	2485
Asteraceae	Parthenium	incanum	Miridae	Orthotylini	Jornandes	albipes	98	543	782	6296	6291	5953	34236
Asteraceae	Perymenium	mendezii	Miridae	Orthotylini	Scalponotatus	sp_n_with_long_rp	98	3658	3659	6296	6291	6190	6899
Rosaceae	Cercocarpus	montanus	Miridae	Orthotylini	Slaterocoris	alpinus	376	448	842	6296	6291	6200	2537
Asteraceae	Iva	axillaris	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	508	668	6296	6291	6200	2538
Malvaceae	Sphaeralcea	emoryi	Miridae	Orthotylini	Slaterocoris	ambrosiae	286	596	8790	6296	6291	6200	2538
Asteraceae	Hymenoclea	salsola	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	1667	1264	6296	6291	6200	2538
Asteraceae	Encelia	farinosa	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	1194	1195	6296	6291	6200	2538
Asteraceae	Encelia	frutescens	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	1194	3609	6296	6291	6200	2538
Asteraceae	Ambrosia	eriocentra	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	407	1304	6296	6291	6200	2538
Cucurbitaceae	Sechium	edule	Miridae	Orthotylini	Slaterocoris	punctatus	170	5903	8634	6296	6291	6200	40488
Asteraceae	Artemisia	vulgaris	Miridae	Orthotylini	Slaterocoris	solidaginis	98	418	966	6296	6291	6200	2578
Asteraceae	Artemisia	douglasiana	Miridae	Orthotylini	Slaterocoris	solidaginis	98	418	8631	6296	6291	6200	2578
Salicaceae	Salix	lasiolepis	Miridae	Orthotylini	Slaterocoris	solidaginis	382	583	1334	6296	6291	6200	2578
Asteraceae	Encelia	actonii	Miridae	Orthotylini	Scalponotatus	maturus	98	1194	1338	6296	6291	6190	2485
Asteraceae	Gutierrezia	microcephala	Miridae	Orthotylini	Slaterocoris	flavipes	98	493	1340	6296	6291	6200	2553
Ericaceae	Arctostaphylos	pringlei	Miridae	Orthotylini	Melymacra	apicalis	203	416	2463	6296	6291	6442	6443
Ericaceae	Arctostaphylos	pungens	Miridae	Orthotylini	Melymacra	apicalis	203	416	9251	6296	6291	6442	6443
Simmondsiaceae	Simmondsia	chinensis	Miridae	Orthotylini	Melymacra	apicalis	7	593	1344	6296	6291	6442	6443
Ericaceae	Arctostaphylos	glauca	Miridae	Orthotylini	Melymacra	apicalis	203	416	8651	6296	6291	6442	6443
Ericaceae	Arctostaphylos	viscida	Miridae	Orthotylini	Melymacra	knighti	203	416	1348	6296	6291	6442	6444
Ericaceae	Arctostaphylos	patula	Miridae	Orthotylini	Melymacra	knighti	203	416	872	6296	6291	6442	6444
Boraginaceae	Tiquilia	greggii	Miridae	Orthotylini	Pseudopsallus	greggii	113	1145	9516	6296	6291	6165	6492
Boraginaceae	Tiquilia	palmeri	Miridae	Orthotylini	Pseudopsallus	tiquiliae	113	1145	1146	6296	6291	6165	6493
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	tibialis	98	1622	4133	6296	6291	6200	2582
Pinaceae	Pinus	contorta	Miridae	Orthotylini	Noctuocoris	conspurcatus	62	554	707	6296	6291	6066	1725
Rosaceae	Physocarpus	opulifolius	Miridae	Orthotylini	Noctuocoris	fumidus	376	552	862	6296	6291	6066	1726
Elaeagnaceae	Elaeagnus	angustifolia	Miridae	Orthotylini	Noctuocoris	fumidus	197	472	11977	6296	6291	6066	1726
Fagaceae	Quercus	macrocarpa	Miridae	Orthotylini	Noctuocoris	fumidus	68	571	821	6296	6291	6066	1726
Betulaceae	Betula	pumila	Miridae	Orthotylini	Noctuocoris	fumidus	109	430	886	6296	6291	6066	1726
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	flavipes	98	451	963	6296	6291	6200	2553
Asteraceae	Artemisia	cana	Miridae	Orthotylini	Slaterocoris	tibialis	98	418	683	6296	6291	6200	2582
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	croceipes	98	451	963	6296	6291	6200	2549
Asteraceae	Gutierrezia	sarothrae	Miridae	Orthotylini	Slaterocoris	sheridani	98	493	902	6296	6291	6200	2576
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	sheridani	98	451	963	6296	6291	6200	2576
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	pilosus	98	418	948	6296	6291	6200	2568
Fabaceae	Senna	pilosior	Miridae	Orthotylini	Presidiomiris	infuscatus	211	1353	1354	6296	6291	6144	2316
Fabaceae	Psorothamnus	polydenius	Miridae	Orthotylini	Pseudopsallus	daleae	211	1357	1358	6296	6291	6165	2372
Boraginaceae	Nama	rothrockii	Miridae	Orthotylini	Pseudopsallus	tulare	113	1356	1360	6296	6291	6165	2393
Fabaceae	Mimosa	rhododactyla	Miridae	Orthotylini	Oaxacacoris	schaffneri	211	1265	1361	6296	6291	6069	1733
Asteraceae	Encelia	farinosa	Miridae	Orthotylini	Pseudopsallus	enceliae	98	1194	1195	6296	6291	6165	2375
Nyctaginaceae	Abronia	elliptica	Miridae	Orthotylini	Pseudopsallus	abroniae	320	1198	1363	6296	6291	6165	2366
Asteraceae	Artemisia	filifolia	Miridae	Orthotylini	Pseudopsallus	artemisicola	98	418	744	6296	6291	6165	2369
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Pseudopsallus	atriseta	98	418	948	6296	6291	6165	2370
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Pseudopsallus	lattini	98	418	948	6296	6291	6165	2379
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Pseudopsallus	major	98	418	948	6296	6291	6165	2380
Lamiaceae	Salvia	dorrii	Miridae	Orthotylini	Pseudopsallus	mojaviensis	264	585	729	6296	6291	6165	2381
Asteraceae	Malacothrix	glabrata	Miridae	Orthotylini	Pseudopsallus	plagiatus	98	1366	1367	6296	6291	6165	2385
Solanaceae	Lycium	berlandieri	Miridae	Orthotylini	Squamocoris	latisquamus	9	528	673	6296	6291	6209	2589
Rhamnaceae	Condalia	spathulata	Miridae	Orthotylini	Squamocoris	latisquamus	373	458	1310	6296	6291	6209	2589
Solanaceae	Lycium	andersonii	Miridae	Orthotylini	Squamocoris	latisquamus	9	528	8579	6296	6291	6209	2589
Amaranthaceae	Grayia	spinosa	Miridae	Orthotylini	Squamocoris	latisquamus	83	492	920	6296	6291	6209	2589
Lamiaceae	Salazaria	mexicana	Miridae	Orthotylini	Squamocoris	pallidinervus	264	1370	9681	6296	6291	6209	2590
Asteraceae	Hymenoclea	salsola	Miridae	Orthotylini	Squamocoris	pallidinervus	98	1667	1264	6296	6291	6209	2590
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Squamocoris	pallidinervus	98	418	948	6296	6291	6209	2590
Rosaceae	Purshia	tridentata	Miridae	Orthotylini	Squamocoris	purshiae	376	569	8758	6296	6291	6209	2591
Rhamnaceae	Ceanothus	cuneatus	Miridae	Orthotylini	Squamocoris	purshiae	373	444	716	6296	6291	6209	2591
Sarcobataceae	Sarcobatus	vermiculatus	Miridae	Orthotylini	Squamocoris	utahensis	7960	587	960	6296	6291	6209	2593
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Squamocoris	utahensis	98	418	948	6296	6291	6209	2593
Fabaceae	Prosopis	glandulosa	Miridae	Orthotylini	Ramentomiris	baja	211	565	9450	6296	6291	6170	2399
Fabaceae	Acacia	roemeriana	Miridae	Orthotylini	Ramentomiris	baja	211	396	9230	6296	6291	6170	2399
Asteraceae	Verbesina	encelioides	Miridae	Orthotylini	Slaterocoris	apache	98	618	1372	6296	6291	6200	2539
Asteraceae	Artemisia	filifolia	Miridae	Orthotylini	Slaterocoris	rubrofemoratus	98	418	744	6296	6291	6200	2572
Ericaceae	Arctostaphylos	canescens	Miridae	Orthotylini	Melymacra	apicalis	203	416	9252	6296	6291	6442	6443
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	flavipes	98	1622	4133	6296	6291	6200	2553
Asteraceae	Artemisia	frigida	Miridae	Orthotylini	Slaterocoris	pilosus	98	418	751	6296	6291	6200	2568
Rhamnaceae	Rhamnus	ilicifolia	Miridae	Orthotylini	Slaterocoris	sparsus	373	574	8661	6296	6291	6200	2579
Asteraceae	Artemisia	frigida	Miridae	Orthotylini	Slaterocoris	tibialis	98	418	751	6296	6291	6200	2582
Fabaceae	Psorothamnus	fremontii	Miridae	Orthotylini	Daleapidea	daleae	211	1357	9805	6296	6291	5838	908
Fabaceae	Psorothamnus	polydenius	Miridae	Orthotylini	Daleapidea	daleae	211	1357	1358	6296	6291	5838	908
Asteraceae	Silphium	perfoliatum	Miridae	Orthotylini	Slaterocoris	hirtus	98	592	8719	6296	6291	6200	2558
Fabaceae	Psorothamnus	polydenius	Miridae	Orthotylini	Daleapidea	albescens	211	1357	1358	6296	6291	5838	907
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	sheridani	98	1622	4133	6296	6291	6200	2576
Fabaceae	Psorothamnus	emoryi	Miridae	Orthotylini	Daleapidea	albescens	211	1357	9456	6296	6291	5838	907
Asteraceae	Tetradymia	canescens	Miridae	Orthotylini	Daleapidea	albescens	98	604	9695	6296	6291	5838	907
Fabaceae	Psorothamnus	emoryi	Miridae	Orthotylini	Daleapidea	daleae	211	1357	9456	6296	6291	5838	908
Asteraceae	Artemisia	furcata	Miridae	Orthotylini	Slaterocoris	solidaginis	98	418	4298	6296	6291	6200	2578
Asteraceae	Chrysothamnus	parryi	Miridae	Orthotylini	Slaterocoris	croceipes	98	451	869	6296	6291	6200	2549
Onagraceae	Clarkia	unguiculata	Miridae	Orthotylini	Pseudopsallus	badger	327	1409	1410	6296	6291	6165	2371
Fabaceae	Lupinus	albifrons	Miridae	Orthotylini	Slaterocoris	sparsus	211	527	1411	6296	6291	6200	2579
Rosaceae	Purshia	glandulosa	Miridae	Orthotylini	Scalponotatus	maturus	376	569	8650	6296	6291	6190	2485
Fabaceae	Psorothamnus	emoryi	Miridae	Orthotylini	Daleapidea	decorata	211	1357	9456	6296	6291	5838	909
Cupressaceae	Juniperus	virginiana	Miridae	Orthotylini	Parthenicus	juniperi	63	511	9378	6296	6291	6112	2230
Pinaceae	Pinus	banksiana	Miridae	Orthotylini	Parthenicus	juniperi	62	554	671	6296	6291	6112	2230
Pinaceae	Tsuga	canadensis	Miridae	Orthotylini	Parthenicus	juniperi	62	611	9823	6296	6291	6112	2230
Cupressaceae	Thuja	occidentalis	Miridae	Orthotylini	Parthenicus	juniperi	63	608	859	6296	6291	6112	2230
Ericaceae	Ceratiola	ericoides	Miridae	Orthotylini	Parthenicus	weemsi	203	3579	8860	6296	6291	6112	2274
Hypericaceae	Hypericum	galioides	Miridae	Orthotylini	Parthenicus	rufus	7973	1443	1444	6296	6291	6112	2263
Boraginaceae	Tiquilia	palmeri	Miridae	Orthotylini	Daleapidea	albescens	113	1145	1146	6296	6291	5838	907
Fabaceae	Psorothamnus	schotti	Miridae	Orthotylini	Daleapidea	daleae	211	1357	1454	6296	6291	5838	908
Cupressaceae	Juniperus	bermudiana	Miridae	Orthotylini	Parthenicus	juniperi	63	511	1461	6296	6291	6112	2230
Cupressaceae	Juniperus	chinensis	Miridae	Orthotylini	Parthenicus	juniperi	63	511	8798	6296	6291	6112	2230
Cupressaceae	Juniperus	scopulorum	Miridae	Orthotylini	Parthenicus	juniperi	63	511	8739	6296	6291	6112	2230
Fabaceae	Lupinus	argenteus	Miridae	Orthotylini	Hadronema	militare	211	527	659	6296	6291	5912	1132
Asteraceae	Chrysoma	pauciflosculosa	Miridae	Orthotylini	Parthenicus	psalliodes	98	3546	3547	6296	6291	6112	2254
Asteraceae	Baccharis	sarothroides	Miridae	Orthotylini	Parthenicus	psalliodes	98	1160	3549	6296	6291	6112	2254
Asteraceae	Gutierrezia	texana	Miridae	Orthotylini	Parthenicus	psalliodes	98	493	9360	6296	6291	6112	2254
Fabaceae	Lupinus	perennis	Miridae	Orthotylini	Hadronema	militare	211	527	3558	6296	6291	5912	1132
Hypericaceae	Hypericum	fasciculatum	Miridae	Orthotylini	Parthenicus	rufus	7973	1443	9373	6296	6291	6112	2263
Hypericaceae	Hypericum	lloydii	Miridae	Orthotylini	Parthenicus	rufus	7973	1443	3563	6296	6291	6112	2263
Nothofagaceae	Nothofagus	carri	Miridae	Halticini	Coridromius	punctatus	319	1739	3567	6296	6288	5822	856
Taxodiaceae	Taxodium	distichum	Miridae	Orthotylini	Parthenicus	taxodii	61	3570	2090	6296	6291	6112	2269
Cistaceae	Hudsonia	tomentosa	Miridae	Orthotylini	Parthenicus	vaccini	153	1435	2636	6296	6291	6112	2273
Cistaceae	Hudsonia	ericoides	Miridae	Orthotylini	Parthenicus	vaccini	153	1435	2114	6296	6291	6112	2273
Poaceae	Eragrostis	curvula	Miridae	Orthotylini	Parthenicus	wheeleri	352	1617	3582	6296	6291	6112	6800
Poaceae	Schizachyrium	scoparium	Miridae	Orthotylini	Parthenicus	wheeleri	352	3585	2544	6296	6291	6112	6800
Poaceae	Eragrostis	trichodes	Miridae	Orthotylini	Parthenicus	wheeleri	352	1617	3587	6296	6291	6112	6800
Poaceae	Muhlenbergia	reverchonii	Miridae	Orthotylini	Parthenicus	wheeleri	352	3589	3590	6296	6291	6112	6800
Poaceae	Muhlenbergia	lindheimeri	Miridae	Orthotylini	Parthenicus	wheeleri	352	3589	3593	6296	6291	6112	6800
Fagaceae	Quercus	turbinella	Miridae	Orthotylini	Hadronema	pictum	68	571	952	6296	6291	5912	1133
Plantaginaceae	Penstemon	strictiformis	Miridae	Orthotylini	Hadronema	simplex	349	547	3598	6296	6291	5912	1134
Rosaceae	Purshia	stansburyana	Miridae	Orthotylini	Slaterocoris	flavipes	376	569	8747	6296	6291	6200	2553
Asteraceae	Gutierrezia	californica	Miridae	Orthotylini	Slaterocoris	flavipes	98	493	10027	6296	6291	6200	2553
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	longipennis	98	418	948	6296	6291	6200	2560
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	longipennis	98	451	963	6296	6291	6200	2560
Asteraceae	Tetradymia	glabrata	Miridae	Orthotylini	Slaterocoris	longipennis	98	604	8802	6296	6291	6200	2560
Asteraceae	Artemisia	filifolia	Miridae	Orthotylini	Slaterocoris	croceipes	98	418	744	6296	6291	6200	2549
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	apache	98	418	948	6296	6291	6200	2539
Oleaceae	Fraxinus	cuspidata	Miridae	Orthotylini	Slaterocoris	sheridani	325	483	1284	6296	6291	6200	2576
Fabaceae	Dalea	frutescens	Miridae	Orthotylini	Hadronemidea	echinata	211	467	8995	6296	6291	5914	6807
Malvaceae	Ceiba	parvifolia	Miridae	Orthotylini	Jornandes	ceibae	286	3614	2414	6296	6291	5953	6816
Simaroubaceae	Recchia	mexicana	Miridae	Orthotylini	Jornandes	lynnae	6	3615	9808	6296	6291	5953	6817
Tiliaceae	Heliocarpus	terebinthinaceus	Miridae	Orthotylini	Jornandes	heliocarpusi	33	3617	3618	6296	6291	5953	6825
Scrophulariaceae	Buddleja	wrightii	Miridae	Orthotylini	Josephinus	albicornis	3	1547	2688	6296	6291	32832	34233
Convolvulaceae	Ipomoea	murucoides	Miridae	Orthotylini	Jornandes	cruralis	161	3621	3622	6296	6291	5953	1323
Convolvulaceae	Ipomoea	murucoides	Miridae	Orthotylini	Ficinus	sagittarius	161	3621	3622	6296	6291	5887	1075
Urticaceae	Urtica	dioica	Miridae	Orthotylini	Mecomma	pervinius	45	614	725	6296	6291	6023	1607
Urticaceae	Urtica	dioica	Miridae	Orthotylini	Mecomma	ruwenzoriense	45	614	725	6296	6291	6023	1610
Malvaceae	Fremontodendron	californicum	Miridae	Orthotylini	Saileria	bella	286	485	680	6296	6291	6186	2428
Sapindaceae	Acer	monspessulanum	Miridae	Orthotylini	Orthotylus	aceris	385	398	3651	6296	6291	6088	1783
Fabaceae	Indigofera	oblongifolia	Miridae	Orthotylini	Orthotylus	indigoferae	211	1672	8704	6296	6291	6088	1934
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	rubrofemoratus	98	451	963	6296	6291	6200	2572
Asteraceae	Flourensia	fiebrigii	Miridae	Orthotylini	Chileria	andina	98	3661	3662	6296	6291	5804	6916
Rosaceae	Purshia	tridentata	Miridae	Orthotylini	Scalponotatus	albibasis	376	569	8758	6296	6291	6190	2477
Asteraceae	Encelia	frutescens	Miridae	Orthotylini	Scalponotatus	maturus	98	1194	3609	6296	6291	6190	2485
Asteraceae	Ambrosia	confertiflora	Miridae	Orthotylini	Scalponotatus	maturus	98	407	2022	6296	6291	6190	2485
Asteraceae	Encelia	virginensis	Miridae	Orthotylini	Scalponotatus	maturus	98	1194	1211	6296	6291	6190	2485
Fabaceae	Acacia	greggii	Miridae	Orthotylini	Scalponotatus	maturus	211	396	8654	6296	6291	6190	2485
Asteraceae	Ambrosia	deltoidea	Miridae	Orthotylini	Scalponotatus	maturus	98	407	3674	6296	6291	6190	2485
Asteraceae	Hymenoclea	salsola	Miridae	Orthotylini	Scalponotatus	maturus	98	1667	1264	6296	6291	6190	2485
Amaranthaceae	Atriplex	polycarpa	Miridae	Orthotylini	Scalponotatus	maturus	83	424	877	6296	6291	6190	2485
Asteraceae	Ambrosia	eriocentra	Miridae	Orthotylini	Scalponotatus	maturus	98	407	1304	6296	6291	6190	2485
Asteraceae	Encelia	farinosa	Miridae	Orthotylini	Scalponotatus	maturus	98	1194	1195	6296	6291	6190	2485
Burseraceae	Bursera	submoniliformis	Miridae	Orthotylini	Jornandes	burserae	121	435	3686	6296	6291	5953	6818
Fabaceae	Mimosa	polyantha	Miridae	Orthotylini	Jornandes	mimosae	211	1265	3688	6296	6291	5953	6810
Cupressaceae	Callitris	glaucophylla	Miridae	Orthotylini	Orthotylus	sp_ms_glaucophylla	63	1550	2183	6296	6291	6088	36202
Euphorbiaceae	Acalypha	insulana	Miridae	Halticini	Coridromius	neoguineanus	208	3792	3793	6296	6288	5822	855
Asteraceae	Berkheya	bipinnatifida	Miridae	Halticini	Coridromius	bulbopella	98	1537	3794	6296	6288	5822	7079
Fabaceae	Lupinus	albifrons	Miridae	Orthotylini	Hadronema	militare	211	527	1411	6296	6291	5912	1132
Lamiaceae	Prostanthera	campbellii	Miridae	Orthotylini	Gn_OrthotyliniGp1	sp_006	264	1777	1972	6296	6291	7362	7364
Myrtaceae	Micromyrtus	hursthousei	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1722	2230	6296	6291	83163	83164
Fabaceae	Pultenaea	tenuifolia	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	211	1784	2622	6296	6291	80228	82278
Dilleniaceae	Hibbertia	sericea	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	187	1662	2548	6296	6291	80228	82278
Myrtaceae	Melaleuca	wilsonii	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	313	1717	2686	6296	6291	80228	82278
Myrtaceae	Phymatocarpus	porphyrocephalus	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1766	2459	6296	6291	83163	83164
Myrtaceae	Melaleuca	brevifolia	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1717	1953	6296	6291	83163	83164
Myrtaceae	Scholtzia	drummondii	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1796	2096	6296	6291	83163	83164
Thymelaeaceae	Pimelea	glauca	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	32	1769	9656	6296	6291	80228	82278
Fabaceae	Pultenaea	tenuifolia	Miridae	Orthotylini	Gn_OrthotyliniGp39	sp_nsp	211	1784	2622	6296	6291	32813	32827
Fabaceae	Pultenaea	hispidula	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	211	1784	2217	6296	6291	80228	82278
Proteaceae	Grevillea	lavandulacea	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	362	1648	2289	6296	6291	80228	82278
Fabaceae	Jacksonia	horrida	Miridae	Orthotylini	Gn_ms_Granitohyoidea	sp_wa0909msp119	211	1678	2226	6296	6291	83258	83259
Fabaceae	Jacksonia	nutans	Miridae	Orthotylini	Gn_ms_Granitohyoidea	sp_wa0909msp119	211	1678	2384	6296	6291	83258	83259
Myrtaceae	Darwinia	fascicularis	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	313	1589	2134	6296	6291	80228	82278
Myrtaceae	Leptospermum	fastigiatum	Miridae	Orthotylini	Gn_OrthotyliniGp2	sp_002	313	1696	2137	6296	6291	7387	7390
Myrtaceae	Homalocalyx	thryptomenoides	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_anouk2.004	313	1665	2633	6296	6291	83163	83169
Myrtaceae	Calytrix	tetragona	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	313	1554	2629	6296	6291	80228	82278
Epacridaceae	Brachyloma	daphnoides	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	201	1545	2066	6296	6291	80228	82278
Fabaceae	Dillwynia	hispida	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	211	1596	11721	6296	6291	80228	82278
Fabaceae	Dillwynia	hispida	Miridae	Orthotylini	Gn_OrthotyliniGp39	sp_nsp	211	1596	11721	6296	6291	32813	32827
Cupressaceae	Callitris	glaucophylla or gracilis	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_sidnica	63	1550	2184	6296	6291	80228	82278
Proteaceae	Hakea	mitchellii	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_hakeaphila	362	1652	2358	6296	6291	80228	80907
Myrtaceae	Baeckea	pentagonantha	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1527	2426	6296	6291	83163	83164
Myrtaceae	Eremaea	beaufortioides	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1618	1934	6296	6291	83163	83164
Myrtaceae	Scholtzia	capitata	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1796	1979	6296	6291	83163	83164
Myrtaceae	Calytrix	harvestiana	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1554	2206	6296	6291	83163	83164
Lamiaceae	Dicrastylis	fulva	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	264	1594	2166	6296	6291	83163	83164
Myrtaceae	Pileanthus	vernicosus	Miridae	Orthotylini	Gn_ms_Flectotheca	sp_wa0909msp100	313	1768	2667	6296	6291	83163	83164
Fabaceae	Jacksonia	spinosa	Miridae	Orthotylini	Gn_ms_Granitohyoidea	sp_wa0909msp119	211	1678	9776	6296	6291	83258	83259
Proteaceae	Hakea	muelleriana	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_hakeaphila	362	1652	2366	6296	6291	80228	80907
Myrtaceae	Melaleuca	wilsonii	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_hakeaphila	313	1717	2686	6296	6291	80228	80907
Myrtaceae	Calytrix	tetragona	Miridae	Orthotylini	Gn_ms_Granitohyoidea	sp_wa0909msp119	313	1554	2629	6296	6291	83258	83259
Thymelaeaceae	Pimelea	ferruginea	Miridae	Orthotylini	Gn_ms_Granitohyoidea	sp_wa0909msp119	32	1769	2139	6296	6291	83258	83259
Asteraceae	Ozothamnus	diosmifolius	Miridae	Orthotylini	Gn_OrthotyliniGp3	sp_002	98	1750	2085	6296	6291	7398	7400
Sterculiaceae	Keraudrenia	integrifolia	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_keraudrenia	18	1682	8894	6296	6291	80228	80341
Asteraceae	Olearia	axillaris	Miridae	Orthotylini	Gn_OrthotyliniGp3	sp_003	98	1744	8595	6296	6291	7398	7402
Rutaceae	Boronia	alata	Miridae	Orthotylini	Gn_OrthotyliniGp3	sp_003	379	1542	8568	6296	6291	7398	7402
Lamiaceae	Dicrastylis	fulva	Miridae	Orthotylini	Gn_ms_Naranjakotta	sp_ms_keraudrenia	264	1594	2166	6296	6291	80228	80341
